"BehaviorSpace results (NetLogo 6.3.0)"
"cooperation_spatial_diversity.nlogo"
"random-local-roaming"
"10/10/2023 10:52:35:345 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","63","0","63"
"[run number]","roaming-agents","noise-factor","synergy-factor","neighborhood-type","world-size","imitation-policy","[step]","mean-cooperators1k"
"216","0","0.5","2.7","random von Neumann","64","fermi-dirac","2048","0.055747032165527344"
"215","0","0.5","2.7","random von Neumann","64","fermi-dirac","2048","0.020029783248901367"
"214","0","0.5","2.7","random von Neumann","64","fermi-dirac","2048","0.03141593933105469"
"217","0","0.5","2.7","random von Neumann","64","fermi-dirac","2048","0.020741701126098633"
"218","0","0.5","2.7","random von Neumann","64","fermi-dirac","2048","0.019013643264770508"
"219","0","0.5","2.7","random von Neumann","64","fermi-dirac","2048","0.0632476806640625"
"220","0","0.5","2.7","random von Neumann","64","fermi-dirac","2048","0.02776622772216797"
"221","0","0.5","2.7","random von Neumann","64","fermi-dirac","2048","0.05109810829162598"
"222","0","0.5","2.7","random von Neumann","64","fermi-dirac","2048","0.05642437934875488"
"223","0","0.5","2.7","random von Neumann","64","fermi-dirac","2048","0.057433128356933594"
"224","0","0.5","2.7","random von Neumann","64","fermi-dirac","2048","0.04611063003540039"
"225","0","0.5","2.7","random von Neumann","64","fermi-dirac","2048","0.01969289779663086"
"226","0","0.5","2.7","random von Neumann","64","fermi-dirac","2048","0.05387401580810547"
"227","0","0.5","2.7","random von Neumann","64","fermi-dirac","2048","0.019971132278442383"
"228","0","0.5","2.7","random von Neumann","64","fermi-dirac","2048","0.03292346000671387"
"229","0","0.5","2.7","random von Neumann","64","fermi-dirac","2048","0.05347871780395508"
"230","0","0.5","2.7","random von Neumann","64","fermi-dirac","2048","0.017425537109375"
"231","0","0.5","2.7","random von Neumann","64","fermi-dirac","2048","0.07605504989624023"
"233","0","0.5","2.7","random von Neumann","64","fermi-dirac","2048","0.08788275718688965"
"234","0","0.5","2.7","random von Neumann","64","fermi-dirac","2048","0.045616865158081055"
"232","0","0.5","2.7","random von Neumann","64","fermi-dirac","2048","0.054230690002441406"
"235","0","0.5","2.7","random von Neumann","64","fermi-dirac","2048","0.07601261138916016"
"236","0","0.5","2.7","random von Neumann","64","fermi-dirac","2048","0.04546785354614258"
"237","0","0.5","2.7","random von Neumann","64","fermi-dirac","2048","0.041697025299072266"
"238","0","0.5","2.7","random von Neumann","64","fermi-dirac","2048","0.05796051025390625"
"239","0","0.5","2.7","random von Neumann","64","fermi-dirac","2048","0.028330326080322266"
"240","0","0.5","2.7","random von Neumann","64","fermi-dirac","2048","0.09678888320922852"
"241","0","0.5","2.7","random von Neumann","64","fermi-dirac","2048","0.06138253211975098"
"242","0","0.5","2.7","random von Neumann","64","fermi-dirac","2048","0.01438760757446289"
"243","0","0.5","2.7","random von Neumann","64","fermi-dirac","2048","0.041674137115478516"
"245","0","0.5","2.7","random von Neumann","64","fermi-dirac","2048","0.025176525115966797"
"246","0","0.5","2.7","random von Neumann","64","fermi-dirac","2048","0.07675051689147949"
"244","0","0.5","2.7","random von Neumann","64","fermi-dirac","2048","0.06448769569396973"
"247","0","0.5","2.7","random von Neumann","64","fermi-dirac","2048","0.04211616516113281"
"248","0","0.5","2.7","random von Neumann","64","fermi-dirac","2048","0.04274892807006836"
"249","0","0.5","2.7","random von Neumann","64","fermi-dirac","2048","0.04787421226501465"
"250","0","0.5","2.7","random von Neumann","64","fermi-dirac","2048","0.03995156288146973"
"251","0","0.5","2.7","random Moore","64","fermi-dirac","2048","0.00244140625"
"252","0","0.5","2.7","random Moore","64","fermi-dirac","2048","0"
"253","0","0.5","2.7","random Moore","64","fermi-dirac","2048","0.002799510955810547"
"255","0","0.5","2.7","random Moore","64","fermi-dirac","2048","0.0010342597961425781"
"254","0","0.5","2.7","random Moore","64","fermi-dirac","2048","0"
"256","0","0.5","2.7","random Moore","64","fermi-dirac","2048","0.007396221160888672"
"257","0","0.5","2.7","random Moore","64","fermi-dirac","2048","0.005917787551879883"
"258","0","0.5","2.7","random Moore","64","fermi-dirac","2048","0.005072355270385742"
"259","0","0.5","2.7","random Moore","64","fermi-dirac","2048","0"
"261","0","0.5","2.7","random Moore","64","fermi-dirac","2048","7.333755493164062E-4"
"260","0","0.5","2.7","random Moore","64","fermi-dirac","2048","0"
"262","0","0.5","2.7","random Moore","64","fermi-dirac","2048","0"
"263","0","0.5","2.7","random Moore","64","fermi-dirac","2048","0"
"264","0","0.5","2.7","random Moore","64","fermi-dirac","2048","0.002493619918823242"
"265","0","0.5","2.7","random Moore","64","fermi-dirac","2048","6.251335144042969E-4"
"266","0","0.5","2.7","random Moore","64","fermi-dirac","2048","0"
"267","0","0.5","2.7","random Moore","64","fermi-dirac","2048","8.828639984130859E-4"
"268","0","0.5","2.7","random Moore","64","fermi-dirac","2048","0.001737833023071289"
"269","0","0.5","2.7","random Moore","64","fermi-dirac","2048","0.002661466598510742"
"270","0","0.5","2.7","random Moore","64","fermi-dirac","2048","0.004645824432373047"
"272","0","0.5","2.7","random Moore","64","fermi-dirac","2048","0.0019521713256835938"
"271","0","0.5","2.7","random Moore","64","fermi-dirac","2048","0.0012645721435546875"
"273","0","0.5","2.7","random Moore","64","fermi-dirac","2048","0.004192352294921875"
"276","0","0.5","2.7","random Moore","64","fermi-dirac","2048","0"
"275","0","0.5","2.7","random Moore","64","fermi-dirac","2048","0"
"274","0","0.5","2.7","random Moore","64","fermi-dirac","2048","0.005903959274291992"
"277","0","0.5","2.7","random Moore","64","fermi-dirac","2048","0"
"279","0","0.5","2.7","random Moore","64","fermi-dirac","2048","0.0026221275329589844"
"278","0","0.5","2.7","random Moore","64","fermi-dirac","2048","0"
"280","0","0.5","2.7","random Moore","64","fermi-dirac","2048","0.0017809867858886719"
"281","0","0.5","2.7","random Moore","64","fermi-dirac","2048","0"
"284","0","0.5","2.7","random Moore","64","fermi-dirac","2048","0.0034759044647216797"
"283","0","0.5","2.7","random Moore","64","fermi-dirac","2048","0"
"282","0","0.5","2.7","random Moore","64","fermi-dirac","2048","0"
"285","0","0.5","2.7","random Moore","64","fermi-dirac","2048","0.0010426044464111328"
"287","0","0.5","2.7","random Moore","64","fermi-dirac","2048","0"
"286","0","0.5","2.7","random Moore","64","fermi-dirac","2048","0.001047372817993164"
"288","0","0.5","2.7","random Moore","64","fermi-dirac","2048","0"
"289","0","0.5","2.7","random Moore","64","fermi-dirac","2048","9.467601776123047E-4"
"290","0","0.5","2.7","random Moore","64","fermi-dirac","2048","0.0014941692352294922"
"291","0","0.5","2.7","random Moore","64","fermi-dirac","2048","0.0032668113708496094"
"292","0","0.5","2.7","random Moore","64","fermi-dirac","2048","0"
"293","0","0.5","2.7","random Moore","64","fermi-dirac","2048","0.003944873809814453"
"294","0","0.5","2.7","random Moore","64","fermi-dirac","2048","0.0011234283447265625"
"295","0","0.5","2.7","random Moore","64","fermi-dirac","2048","0"
"296","0","0.5","2.7","random Moore","64","fermi-dirac","2048","9.183883666992188E-4"
"297","0","0.5","2.7","random Moore","64","fermi-dirac","2048","0"
"301","0","0.5","2.8","random von Neumann","64","fermi-dirac","2048","0.10071516036987305"
"298","0","0.5","2.7","random Moore","64","fermi-dirac","2048","9.226799011230469E-4"
"299","0","0.5","2.7","random Moore","64","fermi-dirac","2048","9.868144989013672E-4"
"302","0","0.5","2.8","random von Neumann","64","fermi-dirac","2048","0.14618611335754395"
"303","0","0.5","2.8","random von Neumann","64","fermi-dirac","2048","0.06323599815368652"
"304","0","0.5","2.8","random von Neumann","64","fermi-dirac","2048","0.11649394035339355"
"300","0","0.5","2.7","random Moore","64","fermi-dirac","2048","0.0013175010681152344"
"306","0","0.5","2.8","random von Neumann","64","fermi-dirac","2048","0.07654690742492676"
"305","0","0.5","2.8","random von Neumann","64","fermi-dirac","2048","0.08642268180847168"
"307","0","0.5","2.8","random von Neumann","64","fermi-dirac","2048","0.09567070007324219"
"308","0","0.5","2.8","random von Neumann","64","fermi-dirac","2048","0.13515615463256836"
"309","0","0.5","2.8","random von Neumann","64","fermi-dirac","2048","0.12032675743103027"
"310","0","0.5","2.8","random von Neumann","64","fermi-dirac","2048","0.0958852767944336"
"311","0","0.5","2.8","random von Neumann","64","fermi-dirac","2048","0.06150531768798828"
"312","0","0.5","2.8","random von Neumann","64","fermi-dirac","2048","0.08998727798461914"
"313","0","0.5","2.8","random von Neumann","64","fermi-dirac","2048","0.10448050498962402"
"314","0","0.5","2.8","random von Neumann","64","fermi-dirac","2048","0.09144043922424316"
"315","0","0.5","2.8","random von Neumann","64","fermi-dirac","2048","0.056809425354003906"
"316","0","0.5","2.8","random von Neumann","64","fermi-dirac","2048","0.08832550048828125"
"318","0","0.5","2.8","random von Neumann","64","fermi-dirac","2048","0.10807538032531738"
"317","0","0.5","2.8","random von Neumann","64","fermi-dirac","2048","0.10040116310119629"
"319","0","0.5","2.8","random von Neumann","64","fermi-dirac","2048","0.08537912368774414"
"321","0","0.5","2.8","random von Neumann","64","fermi-dirac","2048","0.11399364471435547"
"322","0","0.5","2.8","random von Neumann","64","fermi-dirac","2048","0.07054352760314941"
"320","0","0.5","2.8","random von Neumann","64","fermi-dirac","2048","0.09089875221252441"
"323","0","0.5","2.8","random von Neumann","64","fermi-dirac","2048","0.06350135803222656"
